id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Time_of_Day,Email_Interaction,Device_Type,Payment_Method,Referral_Source,Socioeconomic_Status_Score,Engagement_Score,AB_Bucket,Session_ID,Day,Campaign_Period,Purchase
16,37.0,0.0,5.0,732.919,35.0,4.0,6.0,afternoon,0.0,Desktop,Credit,Ads,7.6,1.1077528229273,6.0,S0000027,21,False,0
17,21.0,0.0,1.0,35.129,7.0,3.0,,evening,1.0,Tablet,Bank,Direct,11.63,3.00236778356728,1.0,S0000029,65,False,1
18,,0.0,3.0,531.248,37.0,3.0,2.0,evening,0.0,Desktop,Bank,Ads,8.15,1.03972077083992,3.0,S0000031,57,False,0
19,,0.0,4.0,174.999,27.0,1.0,0.0,afternoon,0.0,Mobile,Bank,Ads,5.01,2.27487828496586,4.0,S0000032,56,False,1
20,25.0,0.0,2.0,,27.0,0.0,1.0,evening,0.0,,PayPal,Search_engine,8.45,1.01685304536045,5.0,S0000033,35,True,1
21,44.0,1.0,3.0,983.116,29.0,0.0,9.0,evening,0.0,Desktop,Bank,,1.32,3.55841973261441,0.0,S0000035,43,True,0
22,,0.0,5.0,485.433,50.0,3.0,5.0,afternoon,0.0,Mobile,Bank,Email,5.97,0.749260138686649,2.0,S0000037,35,True,0
23,23.0,1.0,2.0,252.387,38.0,1.0,1.0,evening,0.0,Mobile,Credit,,6.13,3.51847041508314,3.0,S0000038,11,False,1
24,27.0,0.0,5.0,661.209,31.0,0.0,3.0,evening,1.0,Desktop,,Search_engine,6.45,4.17943866775104,0.0,S0000042,60,False,1
25,,,3.0,376.683,7.0,4.0,5.0,evening,1.0,Desktop,Cash,Social_media,1.8,0.11982929094216,1.0,S0000043,54,False,0
26,40.0,1.0,3.0,529.302,15.0,,8.0,afternoon,0.0,Tablet,PayPal,Direct,4.14,3.98238441421112,3.0,S0000045,25,True,0
27,24.0,0.0,3.0,755.008,2.0,1.0,8.0,afternoon,0.0,Desktop,Cash,Ads,6.15,2.20737365029729,4.0,S0000046,25,True,0
28,35.0,0.0,2.0,453.803,12.0,4.0,5.0,evening,1.0,Desktop,Cash,Direct,5.36,6.21872363361202,6.0,S0000048,12,False,0
29,18.0,0.0,4.0,946.062,35.0,4.0,2.0,evening,0.0,Mobile,Cash,Search_engine,6.85,1.79842145459878,0.0,S0000049,58,False,0
30,65.0,1.0,1.0,271.637,3.0,0.0,0.0,morning,0.0,Desktop,Bank,,4.29,2.04755037905127,1.0,S0000050,24,False,1
31,20.0,0.0,6.0,671.326,8.0,1.0,3.0,morning,0.0,Tablet,Bank,,10.15,2.06356719252255,2.0,S0000051,37,True,0
32,22.0,1.0,2.0,170.187,47.0,0.0,1.0,afternoon,0.0,Desktop,Credit,Direct,2.73,2.29397927669353,5.0,S0000054,50,True,1
33,,0.0,1.0,681.315,14.0,2.0,1.0,evening,1.0,Mobile,Bank,Search_engine,13.08,2.65039933853872,6.0,S0000055,16,False,0
34,39.0,0.0,1.0,273.342,18.0,4.0,5.0,morning,0.0,Desktop,Credit,Ads,9.08,2.17888484458317,1.0,S0000057,69,False,0
35,23.0,0.0,1.0,143.511,16.0,3.0,2.0,afternoon,0.0,Mobile,,Social_media,3.35,4.59638724400205,3.0,S0000059,23,False,0
36,65.0,0.0,1.0,268.408,48.0,2.0,2.0,morning,0.0,Mobile,Credit,Ads,8.3,3.26011292661785,4.0,S0000060,48,True,1
37,25.0,1.0,5.0,826.369,40.0,1.0,4.0,afternoon,,Desktop,PayPal,,8.49,0.35213065449747,5.0,S0000061,68,False,0
38,33.0,1.0,5.0,99.169,14.0,2.0,3.0,afternoon,1.0,Tablet,Cash,Email,6.43,1.34591923810378,6.0,S0000062,8,False,1
39,18.0,0.0,4.0,,4.0,3.0,10.0,evening,0.0,Tablet,Credit,,10.66,0.312961840434252,0.0,S0000063,63,False,0
40,25.0,0.0,5.0,295.419,40.0,3.0,4.0,evening,0.0,Desktop,Bank,Ads,0.0,3.31146272348947,1.0,S0000064,20,False,0
41,41.0,1.0,1.0,170.288,8.0,2.0,2.0,evening,1.0,Mobile,Cash,,5.71,4.95105415433615,4.0,S0000067,48,True,1
42,25.0,,2.0,574.838,10.0,4.0,5.0,afternoon,1.0,Mobile,Credit,,4.43,1.41426424859432,5.0,S0000068,15,False,0
43,24.0,0.0,4.0,903.956,40.0,0.0,,afternoon,0.0,Desktop,Credit,Social_media,10.41,3.21656118883052,6.0,S0000069,37,True,1
44,65.0,0.0,3.0,528.428,35.0,0.0,3.0,evening,1.0,Desktop,,Search_engine,6.83,2.70461131316705,1.0,S0000071,58,False,0
45,28.0,0.0,1.0,645.044,44.0,2.0,2.0,evening,0.0,Desktop,Cash,Email,7.39,0.408492927337474,3.0,S0000073,17,False,0
46,25.0,0.0,5.0,975.82,26.0,0.0,1.0,evening,1.0,Mobile,Bank,Ads,5.31,2.48439049898574,4.0,S0000074,38,True,1
47,65.0,1.0,4.0,504.828,38.0,3.0,5.0,evening,1.0,Desktop,PayPal,Search_engine,7.07,2.91962809958459,6.0,S0000076,13,False,0
48,,0.0,2.0,922.252,29.0,2.0,6.0,evening,1.0,Desktop,Bank,Ads,2.4,0.171213307942466,0.0,S0000077,43,True,0
49,21.0,1.0,4.0,331.42,34.0,4.0,5.0,evening,1.0,Tablet,Bank,Search_engine,0.84,5.56419685705998,1.0,S0000078,54,False,0
50,27.0,0.0,4.0,150.595,15.0,1.0,1.0,afternoon,0.0,Mobile,PayPal,Ads,4.45,2.15169691155655,2.0,S0000079,14,False,1
51,,0.0,4.0,637.106,10.0,0.0,0.0,morning,0.0,Desktop,,Direct,6.93,5.16993904314979,3.0,S0000080,2,False,1
52,38.0,1.0,1.0,17.178,31.0,0.0,2.0,evening,1.0,Mobile,PayPal,Search_engine,3.61,2.01714172501246,4.0,S0000081,70,False,1
53,20.0,1.0,4.0,719.175,8.0,4.0,0.0,morning,0.0,Tablet,Bank,Ads,6.07,1.76748204139685,5.0,S0000082,31,True,0
54,20.0,1.0,3.0,449.347,34.0,0.0,5.0,morning,0.0,Desktop,Bank,Search_engine,15.04,0.660150985265367,2.0,S0000086,44,True,0
55,24.0,,6.0,804.826,5.0,2.0,16.0,evening,0.0,Tablet,PayPal,,2.0,2.67166693464061,4.0,S0000088,29,True,0
56,,0.0,4.0,477.479,47.0,4.0,3.0,morning,0.0,Desktop,PayPal,Email,10.79,2.70984070763552,5.0,S0000089,28,True,0
57,55.0,0.0,0.0,648.552,47.0,1.0,3.0,evening,0.0,Mobile,PayPal,Search_engine,8.6,4.56572465150158,0.0,S0000091,48,True,0
58,53.0,0.0,2.0,,2.0,2.0,2.0,morning,0.0,Desktop,,,5.26,,2.0,S0000093,68,False,0
59,36.0,1.0,2.0,732.181,7.0,3.0,3.0,afternoon,1.0,Tablet,Cash,,2.41,5.71680603008896,3.0,S0000094,45,True,1
60,27.0,1.0,1.0,871.392,39.0,2.0,5.0,afternoon,1.0,Desktop,Cash,Social_media,6.55,0.764816821239678,4.0,S0000095,64,False,0
61,44.0,1.0,6.0,630.612,10.0,0.0,0.0,evening,1.0,Mobile,Credit,Email,7.92,3.66495332604827,5.0,S0000096,49,True,1
62,19.0,0.0,4.0,115.938,32.0,4.0,4.0,morning,1.0,Desktop,Bank,,6.01,1.38411660469333,6.0,S0000097,68,False,0
63,24.0,0.0,4.0,637.688,23.0,0.0,9.0,evening,0.0,Tablet,,Email,1.83,0.323058436178888,0.0,S0000098,56,False,0
64,32.0,1.0,4.0,313.542,15.0,2.0,3.0,evening,1.0,Tablet,Bank,Social_media,6.9,1.23044576330828,1.0,S0000099,57,False,1
65,37.0,0.0,5.0,532.751,47.0,3.0,1.0,evening,0.0,Desktop,PayPal,Email,4.1,0.524775308691223,3.0,S0000101,2,False,1
66,26.0,1.0,2.0,263.15,3.0,2.0,2.0,afternoon,0.0,Desktop,PayPal,Search_engine,1.41,1.87781861992694,5.0,S0000103,63,False,1
67,46.0,1.0,7.0,,21.0,2.0,2.0,morning,1.0,Mobile,Bank,Ads,19.41,3.36719505620184,6.0,S0000104,51,False,1
68,47.0,1.0,4.0,393.874,39.0,2.0,0.0,morning,0.0,Desktop,PayPal,Direct,7.72,4.84469175162048,2.0,S0000107,51,False,1
69,19.0,1.0,1.0,616.37,41.0,1.0,7.0,evening,1.0,Desktop,,Email,9.45,5.08426522680226,3.0,S0000108,12,False,0
70,45.0,1.0,4.0,138.015,4.0,3.0,1.0,evening,1.0,Mobile,Credit,Direct,2.17,4.07524690565232,4.0,S0000109,51,False,1
71,24.0,1.0,5.0,363.437,48.0,3.0,8.0,evening,1.0,Mobile,Cash,Ads,2.9,5.10400900823285,0.0,S0000112,63,False,0
72,38.0,1.0,4.0,158.479,9.0,3.0,4.0,morning,0.0,Mobile,,Direct,1.04,0.897732275111538,1.0,S0000113,33,True,0
73,,0.0,3.0,927.523,10.0,0.0,0.0,evening,0.0,Desktop,Bank,Social_media,3.4,4.05898977642406,3.0,S0000115,53,False,1
74,27.0,0.0,4.0,359.799,37.0,2.0,7.0,evening,1.0,Mobile,Bank,Search_engine,1.76,2.26050578592764,4.0,S0000116,51,False,0
75,20.0,0.0,5.0,698.187,0.0,0.0,3.0,evening,0.0,Mobile,Bank,,8.1,2.75188380343514,5.0,S0000117,10,False,0
76,26.0,0.0,3.0,256.448,13.0,2.0,3.0,morning,1.0,Desktop,Credit,Social_media,8.12,1.53896961447692,6.0,S0000118,5,False,0
77,26.0,1.0,4.0,832.047,2.0,0.0,2.0,morning,0.0,Mobile,Credit,Email,4.95,4.65191682922884,0.0,S0000119,53,False,0
78,21.0,0.0,5.0,918.729,36.0,2.0,12.0,evening,0.0,Tablet,Credit,Social_media,8.04,0.110666383623418,1.0,S0000120,18,False,0
79,,0.0,3.0,61.731,13.0,0.0,1.0,afternoon,1.0,Mobile,Credit,Email,1.01,0.539977160439632,2.0,S0000121,12,False,1
80,25.0,0.0,3.0,564.513,19.0,1.0,2.0,evening,1.0,Tablet,PayPal,Email,3.85,2.3175905939051,3.0,S0000122,14,False,0
81,19.0,0.0,4.0,722.881,25.0,3.0,3.0,afternoon,1.0,Mobile,,Ads,,4.480342080121,5.0,S0000124,26,True,0
82,30.0,1.0,2.0,425.609,21.0,1.0,2.0,,1.0,Tablet,Bank,,5.39,1.0485062957439,6.0,S0000125,4,False,0
83,47.0,1.0,2.0,261.243,26.0,1.0,5.0,morning,0.0,Desktop,PayPal,Search_engine,6.03,0.864428381099565,0.0,S0000126,36,True,0
84,39.0,1.0,1.0,290.695,27.0,1.0,2.0,afternoon,0.0,Desktop,Cash,Ads,3.12,3.03151333820043,2.0,S0000128,39,True,0
85,51.0,1.0,2.0,160.529,28.0,0.0,6.0,afternoon,1.0,Desktop,PayPal,Email,0.89,2.11047273549352,4.0,S0000130,53,False,0
86,60.0,1.0,4.0,974.183,18.0,1.0,3.0,evening,0.0,Mobile,Cash,,6.11,2.49322774276947,5.0,S0000131,36,True,0
87,25.0,0.0,2.0,768.671,29.0,2.0,1.0,morning,0.0,Mobile,Bank,,6.72,2.90473862937126,6.0,S0000132,29,True,1
88,24.0,0.0,4.0,,29.0,4.0,5.0,morning,1.0,Desktop,Bank,Direct,5.96,1.26439798994606,0.0,S0000133,42,True,0
89,,0.0,6.0,451.63,31.0,1.0,4.0,morning,1.0,Mobile,Cash,Search_engine,3.97,4.36682723752766,1.0,S0000134,9,False,0
90,30.0,1.0,3.0,760.294,30.0,2.0,3.0,evening,1.0,Mobile,Credit,Search_engine,2.03,2.02144661114932,,S0000135,34,True,0
91,,0.0,3.0,854.526,12.0,2.0,1.0,afternoon,0.0,Mobile,Cash,Social_media,3.03,3.18138583329932,3.0,S0000136,36,True,1
92,19.0,1.0,2.0,724.329,48.0,2.0,4.0,afternoon,0.0,Desktop,,Direct,3.18,0.263768480007821,4.0,S0000137,43,True,0
93,22.0,0.0,2.0,953.758,11.0,3.0,2.0,evening,0.0,Mobile,Bank,Social_media,,1.17459613227616,5.0,S0000138,13,False,0
94,,0.0,1.0,280.3,16.0,4.0,3.0,evening,1.0,Mobile,PayPal,Search_engine,7.24,2.6805439215393,6.0,S0000139,65,False,0
95,64.0,1.0,1.0,475.188,25.0,1.0,2.0,evening,1.0,Mobile,Cash,Ads,5.27,0.692917334445813,0.0,S0000140,40,True,0
96,34.0,1.0,6.0,987.396,42.0,0.0,3.0,morning,1.0,Mobile,PayPal,Direct,0.98,0.483628190695148,1.0,S0000141,19,False,0
97,19.0,1.0,4.0,795.789,9.0,3.0,4.0,afternoon,1.0,Desktop,,Search_engine,0.23,2.80724608126778,2.0,S0000142,61,False,0
98,19.0,0.0,1.0,936.511,17.0,0.0,0.0,morning,0.0,Tablet,Bank,Direct,8.33,3.0713255685769,3.0,S0000143,53,False,1
99,19.0,1.0,4.0,957.252,41.0,0.0,7.0,evening,1.0,Desktop,,Email,9.08,2.29779711605423,4.0,S0000144,17,False,0
100,21.0,0.0,6.0,206.051,12.0,4.0,1.0,afternoon,1.0,Desktop,Cash,Ads,3.67,2.29383166563675,5.0,S0000145,2,False,1
101,31.0,0.0,4.0,260.08,14.0,3.0,0.0,evening,1.0,Desktop,PayPal,Email,7.72,1.77444250187079,6.0,S0000146,31,True,1
102,65.0,0.0,1.0,904.545,25.0,0.0,4.0,evening,1.0,Mobile,Cash,Direct,3.81,2.4788819876714,1.0,S0000148,21,False,0
103,65.0,1.0,3.0,332.332,30.0,0.0,2.0,morning,0.0,Tablet,,Email,9.9,2.1769158642016,3.0,S0000150,32,True,1
104,18.0,0.0,3.0,172.545,13.0,1.0,2.0,morning,1.0,Tablet,,Ads,10.65,3.87786831165346,4.0,S0000151,68,False,1
105,50.0,0.0,2.0,277.55,10.0,3.0,2.0,afternoon,0.0,Mobile,Credit,Ads,6.15,4.86394655607647,6.0,S0000153,14,False,0
106,19.0,0.0,5.0,874.441,28.0,2.0,5.0,evening,0.0,Desktop,Credit,Direct,10.53,2.95365539362327,0.0,S0000154,53,False,0
107,,0.0,3.0,651.995,8.0,4.0,2.0,evening,0.0,Mobile,Credit,Email,,0.0578074351579233,1.0,S0000155,47,True,0
108,49.0,0.0,2.0,196.434,1.0,2.0,1.0,afternoon,0.0,Desktop,,Email,9.85,2.88032721622799,2.0,S0000156,53,False,1
109,30.0,1.0,0.0,916.317,31.0,2.0,1.0,evening,0.0,Desktop,PayPal,,3.72,2.20409741142518,5.0,S0000159,37,True,1
110,26.0,1.0,6.0,11.834,39.0,4.0,2.0,morning,0.0,Mobile,Bank,Email,0.15,2.81417755307338,1.0,S0000162,36,True,1
111,24.0,1.0,3.0,,38.0,,3.0,afternoon,0.0,Desktop,Cash,Email,5.12,1.11987094658573,4.0,S0000165,35,True,1
112,40.0,0.0,2.0,662.893,43.0,0.0,1.0,evening,0.0,Tablet,Cash,Social_media,,0.430022272614733,6.0,S0000167,63,False,1
113,29.0,0.0,4.0,770.968,17.0,1.0,7.0,afternoon,0.0,Mobile,,Direct,0.49,1.28816487762822,2.0,S0000170,41,True,0
114,33.0,1.0,1.0,280.427,13.0,4.0,3.0,afternoon,1.0,Desktop,Bank,Search_engine,4.68,2.75536546475486,3.0,S0000171,44,True,0
115,,0.0,4.0,956.937,16.0,0.0,3.0,afternoon,1.0,Desktop,Bank,Search_engine,2.39,2.77674521081359,4.0,S0000172,23,False,0
116,37.0,0.0,2.0,444.455,22.0,1.0,5.0,evening,0.0,Desktop,Cash,Email,3.54,0.380973914783821,5.0,S0000173,35,True,0
117,65.0,1.0,1.0,55.587,46.0,4.0,5.0,evening,0.0,Mobile,Bank,Search_engine,3.08,4.87123782974684,0.0,S0000175,50,True,0
118,19.0,0.0,2.0,226.463,15.0,1.0,3.0,evening,0.0,Tablet,,Email,2.03,1.07505568153683,2.0,S0000177,51,False,0
119,33.0,0.0,3.0,,14.0,4.0,2.0,afternoon,0.0,Desktop,Credit,Ads,3.85,5.15380979967053,4.0,S0000179,18,False,0
120,65.0,1.0,2.0,555.229,27.0,3.0,10.0,afternoon,1.0,Desktop,Bank,Direct,0.83,5.02013476381026,5.0,S0000180,4,False,0
121,32.0,,3.0,370.945,2.0,0.0,2.0,morning,1.0,Tablet,Cash,Social_media,11.22,0.540654800836757,6.0,S0000181,52,False,1
122,,0.0,2.0,217.303,28.0,3.0,1.0,evening,0.0,Mobile,Credit,Ads,1.4,1.82240040732676,2.0,S0000184,47,True,0
123,,1.0,,746.114,39.0,0.0,10.0,evening,1.0,Mobile,Cash,,5.24,3.05437032261383,3.0,S0000185,51,False,0
124,41.0,0.0,3.0,147.424,41.0,4.0,3.0,morning,0.0,Desktop,Cash,Search_engine,3.84,4.13639349601792,5.0,S0000187,21,False,0
125,29.0,1.0,3.0,666.115,44.0,2.0,6.0,evening,0.0,Mobile,PayPal,Email,2.05,1.35491408147112,,S0000189,6,False,0
126,22.0,0.0,1.0,380.292,28.0,0.0,3.0,morning,0.0,Tablet,PayPal,Direct,,0.995997452610763,1.0,S0000190,23,False,0
127,42.0,0.0,5.0,765.686,0.0,3.0,1.0,afternoon,0.0,Tablet,Bank,Social_media,1.8,4.89176628585219,2.0,S0000191,27,True,1
128,32.0,0.0,2.0,20.265,0.0,2.0,0.0,evening,1.0,Tablet,,Ads,5.84,1.12701077821523,3.0,S0000192,30,True,1
129,,0.0,4.0,329.268,32.0,3.0,4.0,afternoon,0.0,Desktop,,,1.67,1.67027632845313,4.0,S0000193,64,False,1
130,54.0,0.0,1.0,551.734,46.0,4.0,3.0,morning,0.0,Desktop,Cash,Direct,4.57,0.644723826038333,5.0,S0000194,28,True,0
131,,0.0,5.0,167.961,49.0,2.0,4.0,afternoon,0.0,Desktop,,Ads,6.16,3.8861689185131,6.0,S0000195,47,True,1
132,41.0,1.0,6.0,974.239,7.0,2.0,6.0,afternoon,1.0,Tablet,Cash,Direct,4.0,4.06520703395926,0.0,S0000196,5,False,0
133,22.0,0.0,5.0,820.858,27.0,4.0,1.0,evening,0.0,Desktop,Credit,Social_media,6.7,4.42242928796912,2.0,S0000198,41,True,1
134,40.0,0.0,3.0,893.973,39.0,3.0,7.0,afternoon,1.0,Mobile,Cash,Direct,15.43,2.54687510040338,4.0,S0000200,59,False,0
135,,,6.0,189.117,43.0,3.0,3.0,afternoon,1.0,Desktop,PayPal,Search_engine,6.09,1.84006320403828,5.0,S0000201,47,True,1
136,21.0,1.0,7.0,844.74,26.0,2.0,2.0,evening,1.0,Mobile,Bank,Social_media,6.3,5.4329317714337,0.0,S0000203,24,False,1
137,24.0,0.0,,417.096,4.0,4.0,6.0,evening,1.0,Mobile,Cash,Social_media,5.3,0.94577240152886,1.0,S0000204,56,False,0
138,18.0,1.0,7.0,,29.0,4.0,5.0,evening,0.0,Mobile,Cash,Ads,,0.59329903009876,3.0,S0000206,8,False,0
139,37.0,1.0,3.0,457.627,19.0,4.0,2.0,morning,0.0,Desktop,Credit,Direct,6.29,3.04338529763074,4.0,S0000207,17,False,0
140,31.0,1.0,4.0,974.136,7.0,0.0,3.0,morning,1.0,Tablet,Credit,Social_media,2.78,0.19183162182387,6.0,S0000209,65,False,0
141,,0.0,5.0,862.19,2.0,4.0,4.0,evening,1.0,Mobile,Bank,Direct,6.12,1.19894763639919,0.0,S0000210,36,True,0
142,30.0,1.0,2.0,345.587,42.0,3.0,7.0,afternoon,0.0,Mobile,Bank,Email,5.22,0.712263486932534,1.0,S0000211,27,True,0
143,37.0,1.0,3.0,489.1,38.0,2.0,6.0,evening,0.0,Tablet,Credit,,1.93,1.25994670769247,2.0,S0000212,54,False,0
144,56.0,1.0,1.0,545.653,41.0,1.0,0.0,morning,0.0,Mobile,,Ads,0.27,2.1069590522059,3.0,S0000213,21,False,1
145,34.0,1.0,4.0,358.269,29.0,1.0,1.0,evening,1.0,Tablet,PayPal,,0.88,1.9442898674305,5.0,S0000215,24,False,1
146,64.0,0.0,1.0,387.007,16.0,2.0,0.0,afternoon,0.0,Desktop,Credit,Social_media,7.71,0.56937321388027,6.0,S0000216,18,False,1
147,22.0,1.0,1.0,742.325,1.0,4.0,4.0,evening,0.0,Mobile,Bank,Direct,11.14,1.29486344731112,2.0,S0000219,8,False,0
148,51.0,1.0,4.0,901.156,24.0,4.0,0.0,afternoon,0.0,Tablet,Cash,Ads,6.14,1.78791957068808,3.0,S0000220,26,True,1
149,25.0,1.0,5.0,716.244,35.0,0.0,6.0,morning,0.0,Desktop,Credit,Email,6.22,3.86983631648403,5.0,S0000222,4,False,0
150,35.0,0.0,2.0,427.65,15.0,4.0,0.0,morning,0.0,,Bank,Direct,4.44,0.408143685799459,6.0,S0000223,28,True,0
151,31.0,0.0,3.0,71.171,17.0,3.0,5.0,evening,1.0,Tablet,,Search_engine,8.93,1.69062519319616,0.0,S0000224,38,True,1
152,,0.0,0.0,392.316,3.0,2.0,2.0,morning,0.0,Tablet,PayPal,Email,4.95,4.741072343157,,S0000225,52,False,0
153,20.0,0.0,2.0,221.499,27.0,2.0,4.0,evening,1.0,Desktop,Credit,Email,7.86,0.143340757538244,2.0,S0000226,33,True,0
154,55.0,0.0,4.0,398.466,30.0,2.0,6.0,afternoon,0.0,Desktop,Cash,Direct,10.74,1.57252410451789,3.0,S0000227,66,False,0
155,,1.0,4.0,747.82,37.0,3.0,1.0,morning,1.0,Desktop,Credit,Direct,13.46,0.0,4.0,S0000228,61,False,1
156,25.0,0.0,2.0,954.009,21.0,0.0,3.0,afternoon,0.0,Mobile,Bank,Email,7.75,0.707728613890379,5.0,S0000229,36,True,0
157,,1.0,4.0,7.605,13.0,3.0,2.0,,0.0,Mobile,Cash,Search_engine,6.79,2.72611636893413,0.0,S0000231,27,True,1
158,19.0,0.0,6.0,725.043,44.0,1.0,9.0,evening,0.0,,Bank,Direct,3.16,0.986347240682025,1.0,S0000232,57,False,0
159,,1.0,2.0,379.316,22.0,3.0,4.0,morning,0.0,Desktop,Cash,Email,4.11,1.36680030549507,2.0,S0000233,60,False,0
160,31.0,0.0,3.0,298.391,28.0,0.0,7.0,evening,1.0,Mobile,Cash,Search_engine,6.65,4.3592576139094,3.0,S0000234,2,False,0
162,18.0,1.0,5.0,449.166,36.0,2.0,2.0,morning,1.0,Tablet,Cash,Email,0.0,1.17740878936473,0.0,S0000238,33,True,1
163,23.0,1.0,2.0,573.189,27.0,0.0,1.0,morning,0.0,Mobile,,Ads,4.43,2.2060636509745,3.0,S0000241,18,False,0
164,52.0,1.0,5.0,937.24,20.0,2.0,3.0,afternoon,1.0,Mobile,PayPal,Search_engine,4.53,3.15653625669866,4.0,S0000242,34,True,0
165,65.0,1.0,3.0,234.109,32.0,2.0,4.0,,0.0,Mobile,Bank,Ads,1.17,3.83415960247404,5.0,S0000243,63,False,0
166,18.0,1.0,2.0,588.079,40.0,1.0,0.0,morning,1.0,Mobile,,Email,10.44,0.31420454588125,6.0,S0000244,13,False,1
167,21.0,1.0,1.0,554.84,2.0,2.0,0.0,morning,0.0,Mobile,Credit,Social_media,0.85,1.48669506913499,0.0,S0000245,59,False,0
168,38.0,0.0,2.0,764.111,23.0,3.0,4.0,evening,1.0,Mobile,Bank,Email,8.57,4.79574521559401,1.0,S0000246,57,False,0
169,29.0,0.0,3.0,539.391,49.0,4.0,,morning,0.0,Desktop,Credit,Search_engine,1.93,1.2697170470886,3.0,S0000248,58,False,1
170,54.0,0.0,0.0,276.918,30.0,2.0,3.0,morning,1.0,Mobile,Credit,Search_engine,3.82,3.45956550795802,4.0,S0000249,3,False,0
171,36.0,0.0,3.0,92.785,3.0,4.0,0.0,afternoon,1.0,Mobile,PayPal,Social_media,6.69,2.08439474470916,5.0,S0000250,20,False,1
172,,0.0,3.0,878.027,24.0,0.0,6.0,evening,0.0,Mobile,PayPal,Ads,0.52,1.19894763639919,6.0,S0000251,3,False,0
173,,1.0,4.0,165.19,35.0,2.0,6.0,afternoon,1.0,Desktop,PayPal,Ads,5.95,3.60324613376942,0.0,S0000252,31,True,1
174,28.0,0.0,4.0,583.702,25.0,4.0,1.0,afternoon,0.0,Desktop,Bank,Search_engine,2.61,0.606113249397565,1.0,S0000253,8,False,0
175,29.0,,7.0,,40.0,,6.0,morning,0.0,Tablet,Bank,Ads,6.08,1.07437812986792,3.0,S0000255,19,False,0
176,36.0,1.0,1.0,103.089,47.0,4.0,5.0,evening,0.0,Desktop,Credit,Ads,4.4,3.58279447449409,4.0,S0000256,66,False,0
177,,0.0,2.0,241.953,42.0,2.0,1.0,evening,1.0,Mobile,,Social_media,1.9,1.40224852309564,0.0,S0000259,31,True,1
179,18.0,1.0,2.0,199.881,43.0,1.0,0.0,afternoon,1.0,Desktop,Bank,Social_media,6.15,4.65183258212568,2.0,S0000261,63,False,1
180,,0.0,6.0,601.616,10.0,1.0,1.0,morning,1.0,Desktop,Credit,,6.8,4.21364841872704,4.0,S0000263,52,False,1
181,,1.0,9.0,212.916,7.0,4.0,4.0,evening,0.0,Mobile,,,4.6,0.365147855317427,6.0,S0000265,37,True,0
182,31.0,1.0,2.0,427.956,47.0,4.0,2.0,evening,1.0,Tablet,Bank,Email,4.8,1.33438451992533,3.0,S0000269,12,False,1
183,22.0,1.0,4.0,833.512,30.0,2.0,2.0,afternoon,0.0,Desktop,PayPal,Email,3.68,1.99919306542064,0.0,S0000273,33,True,1
